Label,Text
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
ham,"Once a fishrman woke early in d mrng. It was very dark. He waited a while &amp; found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up &amp; he found out tht those r nt stones, those were diamonds. Moral:\Dont wake up early in d mrng'' GOOD night"""
ham,I know you mood off today
ham,What's up. Do you want me to come online?
ham,You will go to walmart. I.ll stay.
ham,Great! How is the office today?
ham,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.
ham,Ugh I don't wanna get out of bed. It's so warm.
ham,So wat's da decision?
ham,I am in office:)whats the matter..msg me now.i will call you at break:).
ham,Sorry * was at the grocers.
ham,Hey what happen de. Are you alright.
ham,I've told him that i've returned it. That should i re order it.
ham,Lol no ouch but wish i'd stayed out a bit longer
ham,"It's that time of the week again, ryan"
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
ham,"Yo, the game almost over? Want to go to walmart soon"
ham,"Ok., is any problem to u frm him? Wats matter?"
ham,Hahaha..use your brain dear
ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
ham,"Get the door, I'm here"
ham,"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home"
ham,R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE
ham,Neshanth..tel me who r u?
spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
spam,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
ham,"Im sorry bout last nite it wasnåÕt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx"
ham,"Gosh that , what a pain. Spose I better come then."
ham,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!
ham,Then u going ikea str aft dat?
ham,"Haha yeah I see that now, be there in a sec"
ham,S:)8 min to go for lunch:)
ham,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?
ham,"Nothing really, just making sure everybody's up to speed"
ham,Do Ì_ all wan 2 meet up n combine all the parts? How's da rest of da project going?
ham,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
ham,"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-"
ham,;-) ok. I feel like john lennon.
ham,God bless.get good sleep my dear...i will pray!
ham,Do we have any spare power supplies
ham,At 7 we will go ok na.
ham,"Aight that'll work, thanks"
ham,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear
spam,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP
ham,Can you say what happen
ham,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
ham,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around"
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
ham,"(No promises on when though, haven't even gotten dinner yet)"
ham,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.
spam,500 free text msgs. Just text ok to 80488 and we'll credit your account
ham,"Aight fuck it, I'll get it later"
ham,Water logging in desert. Geoenvironmental implications.
ham,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
ham,I will send them to your email. Do you mind  &lt;#&gt;  times per night?
ham,Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit
ham,Hey! There's veggie pizza... :/
ham,Same to u...
ham,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?
ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
spam,"This is the 2nd attempt to contract U, you have won this weeks top prize of either å£1000 cash or å£200 prize. Just call 09066361921"
spam,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith.."
ham,Uhhhhrmm isnt having tb test bad when youre sick
ham,I think that tantrum's finished so yeah I'll be by at some point
spam,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner
ham,Update your face book status frequently :)
ham,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.
ham,We are both fine. Thanks
ham,If u dun drive then how i go 2 sch.
ham,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D"
ham,I'm in office now . I will call you  &lt;#&gt;  min:)
ham,Well its not like you actually called someone a punto. That woulda been worse.
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
ham,Thanks chikku..:-) gud nyt:-*
ham,Oh ok.. Wat's ur email?
ham,Dont let studying stress you out. L8r.
ham,PICK UR FONE UP NOW U DUMB?
ham,"I call you later, don't have network. If urgnt, sms me."
ham,I will spoil you in bed as well :)
ham,No calls..messages..missed calls
spam,Congratulations YOU'VE Won. You're a Winner in our August å£1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
ham,Nope... Juz off from work...
ham,Babe ? I lost you ... Will you try rebooting ?
ham,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care."
ham,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?"
ham,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748
ham,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester"
ham,What he said is not the matter. My mind saying some other matter is there.
